date,verdict
2026-06-22,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 10.9%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-06-23,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 10.9%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-06-24,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 10.9%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-06-26,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 10.9%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-06-29,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 10.9%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-06-30,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-01,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-02,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-03,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-07,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
